horror,Tara Subkoff
444-last-day-on-earth,Abel Ferrara
5-broken-cameras,Guy Davidi
5-days-of-war,David Battle
5-days-of-war,Mikko Alanne
5-flights-up,Charlie Peters
5-flights-up,Jill Ciment
5-to-7,Victor Levin
50-first-dates,George Wing
50-to-1,Elizabeth Gaylynn Baker
50-to-1,Faith Conroy
50-to-1,Jim Wilson
live-with-it,Will Reiser
52-tuesdays,Matthew Cormack
52-tuesdays,Sophie Hyde
54,Mark Christopher
5x2,Emmanuèle Bernheim
5x2,François Ozon
6-souls,Michael Cooney
6ixtynin9,Pen-Ek Ratanaruang
7-chinese-brothers,Bob Byington
7-days-in-september,Bruce Kennedy
7-minutes,Jay Martin
71-fragments-of-a-chronology-of-chance,Michael Haneke
8-heads-in-a-duffel-bag,Tom Schulman
8-mile,Scott Silver
8-women,François Ozon
8-women,Marina de Van
8-women,Robert Thomas
8-women-2000,Peter Greenaway
800-bullets,Álex de la Iglesia
800-bullets,Jorge Guerricaechevarría
88minutes,Gary Scott Thompson
8-the-mormon-proposition,Reed Cowan
8mm,Andrew Kevin Walker
9,Pamela Pettler
9,Shane Acker
9-dead-gay-guys,Lab Ky Mo
9-songs,Michael Winterbottom
90-minutes-in-heaven,Don Piper
90-minutes-in-heaven,Michael Polish
99-homes,Amir Naderi
99-homes,Bahareh Azimi
99-homes,Ramin Bahrani
a-cause-dun-garcon,Vincent Molina
right-now,Benoît Jacquot
right-now,Elisabeth Fanger
ca-commence-aujourdhui,Bertrand Tavernier
ca-commence-aujourdhui,Dominique Sampiero
ca-commence-aujourdhui,Tiffany Tavernier
vocateur-the-morton-downey-jr-movie,Daniel A. Miller
aon-flux,Matt Manfredi
aon-flux,Peter Chung
aon-flux,Phil Hay
a-beautiful-mind,Akiva Goldsman
a-beautiful-mind,Sylvia Nasar
a-bigger-splash,Alain Page
a-bigger-splash,David Kajganich
a-birders-guide-to-everything,Luke Matheny
a-birders-guide-to-everything,Rob Meyer
a-borrowed-identity,Sayed Oashua
a-brave-heart-the-lizzie-velasquez-story,Michael Campo
a-brilliant-young-mind,James Graham
a-bronx-tale,Chazz Palminteri
a-bugs-life,Andrew Stanton
a-bugs-life,Bob Shaw
a-bugs-life,David Reynolds
a-bugs-life,Don McEnery
a-bugs-life,Geefwee Boedoe
a-bugs-life,Jason Katz
a-bugs-life,Joe Ranft
a-bugs-life,John Lasseter
a-bugs-life,Jorgen Klubien
a-bugs-life,Robert Lence
a-case-of-you,Christian Long
a-case-of-you,Justin Long
a-case-of-you,Keir O'Donnell
a-cat-in-paris,Alain Gagnol
a-cat-in-paris,Jacques-Rémy Girerd
a-cause-dun-garcon,Vincent Molina
a-chorus-line,Arnold Schulman
a-chorus-line,James Kirkwood Jr.
a-chorus-line,Michael Bennett
a-chorus-line,Nicholas Dante
a-christmas-horror-story,Doug Taylor
a-christmas-horror-story,James Kee
a-christmas-horror-story,Jason Filiatrault
a-christmas-horror-story,Pascal Trottier
a-christmas-horror-story,Sarah Larsen
a-christmas-story,Bob Clark
a-christmas-story,Jean Shepherd
a-christmas-story,Leigh Brown
a-christmas-tale,Arnaud Desplechin
a-christmas-tale,Emmanuel Bourdieu
a-cinderella-story,Leigh Dunlap
a-civil-action,Jonathan Harr
a-civil-action,Steven Zaillian
a-clockwork-orange,Anthony Burgess
a-clockwork-orange,Stanley Kubrick
oh-boy,Jan Ole Gerster
a-common-thread,Éléonore Faucher
