100-streets,Ryan Gage
100-streets,Tim Treloar
100-streets,Tom Cullen
100-streets,Winston Ellis
101-dalmatians,Glenn Close
101-dalmatians,Jeff Daniels
102-dalmatians,Gérard Depardieu
102-dalmatians,Glenn Close
10th-wolf,Brad Renfro
10th-wolf,Giovanni Ribisi
10th-wolf,James Marsden
11-flowers,Jinchun Wang
11-flowers,Liu Wenqing
11-flowers,Ni Yan
11-flowers,Ni Yen
11-flowers,Wang Jinchun
11-flowers,Wenqing Liu
1114,Barbara Hershey
1114,Ben Foster
1114,Blake Heron
1114,Clark Gregg
1114,Colin Hanks
1114,Henry Thomas
1114,Hilary Swank
1114,Patrick Swayze
1114,Rachael Leigh Cook
1114,Shawn Hatosy
1114,Stark Sands
12-rounds,Ashley Scott
12-rounds,John Cena
twelve-years-a-slave,Alfre Woodard
twelve-years-a-slave,Benedict Cumberbatch
twelve-years-a-slave,Brad Pitt
twelve-years-a-slave,Chiwetel Ejiofor
twelve-years-a-slave,Garret Dillahunt
twelve-years-a-slave,Michael Fassbender
twelve-years-a-slave,Michael K. Williams
twelve-years-a-slave,Paul Dano
twelve-years-a-slave,Paul Giamatti
twelve-years-a-slave,Sarah Paulson
127-hours,Amber Tamblyn
127-hours,James Franco
127-hours,Kate Mara
13-assassins,Arata Furuta
13-assassins,Gorô Inagaki
13-assassins,Hiroki Matsukata
13-assassins,Ikki Sawamura
13-assassins,Kôen Kondô
13-assassins,Kôji Yakusho
13-assassins,Masachika Ichimura
13-assassins,Masataka Kubota
13-assassins,Mikijiro Hira
13-assassins,Seiji Rokkaku
13-assassins,Sosuke Takaoka
13-assassins,Takayuki Yamada
13-assassins,Tsuyoshi Ihara
13-assassins,Yûma Ishigaki
13-assassins,Yûsuke Iseya
13-cameras,Brianne Moncrief
13-cameras,DeForrest Taylor
13-cameras,Ethan Rosenberg
13-cameras,Heidi Niedermeyer
13-cameras,Jim Cummings
13-cameras,Neville Archambault
13-cameras,PJ McCabe
13-cameras,Sarah Baldwin
13-cameras,Sean Carrigan
13-cameras,Thomas Modifica Jr.
13-going-on-30,Jennifer Garner
13-going-on-30,Judy Greer
13-going-on-30,Mark Ruffalo
13-hours-the-secret-soldiers-of-benghazi,Alexia Barlier
13-hours-the-secret-soldiers-of-benghazi,David Costabile
13-hours-the-secret-soldiers-of-benghazi,David Denman
13-hours-the-secret-soldiers-of-benghazi,James Badge Dale
13-hours-the-secret-soldiers-of-benghazi,John Krasinski
13-hours-the-secret-soldiers-of-benghazi,Max Martini
13-hours-the-secret-soldiers-of-benghazi,Pablo Schreiber
13-hours-the-secret-soldiers-of-benghazi,Toby Stephens
13-tzameti,George Babluani
14-blades,Chen Zhi Hui
14-blades,Chun Wu
14-blades,Damian Lau
14-blades,Donnie Yen
14-blades,Kar-Ying Law
14-blades,Kate Tsui
14-blades,Kuan Tai Chen
14-blades,Ma Wu
14-blades,Ruiyun An
14-blades,Sammo Hung Kam-Bo
14-blades,Tan Jian Chang
14-blades,Wei Zhao
14-blades,Xiang Dong Xu
14-blades,Xu Bao-Shan
14-blades,Yuwu Qi
1408,John Cusack
1408,Mary McCormack
